L,H,Magnetization,Magnetization_Error,Magnetization_Sq,Magnetization_Sq_Error,V_Score,Energy,Energy_Variance
4,1,-0.029583333333333336,0.04408836743993271,0.7356250000000001,0.014070028848781923,1.2001106230139638e-08,-5.226291951971187,3.277997465180184e-07
5,1,-0.08133333333333333,0.043353260375491774,0.6976000000000001,0.014033559776478672,5.3382877764454097e-08,-6.472277353115834,2.2362287219909796e-06
6,1,0.02638888888888889,0.04223767687428637,0.6519444444444447,0.013462189213080438,1.6673941871882888e-06,-7.727273264058116,9.956136095989132e-05
7,1,-0.0369047619047619,0.04285774911387773,0.6454421768707483,0.01487451742953273,8.594144899273389e-06,-8.988068584359759,0.0006942812346246787
8,1,-0.0018750000000000001,0.04192458196472169,0.6097395833333333,0.014557905348821811,1.2273720236500774e-05,-10.252445298505577,0.0012901230703878058
9,1,0.058333333333333334,0.042184132429227285,0.6035390946502057,0.015539224703601215,1.33497381923763e-05,-11.516513298542465,0.0017705768251503001
10,1,-0.005,0.04006557125513126,0.5515333333333335,0.015421375737256056,1.434837604739802e-05,-12.784483823694819,0.0023451420085314283
11,1,0.048030303030303034,0.03964721513797814,0.5403856749311295,0.014882437828119502,2.1746877571534394e-05,-14.048925431626603,0.004292231369883153
12,1,-0.023472222222222217,0.04059021461041246,0.5476620370370371,0.015739538976909297,1.9222427468110042e-05,-15.320385704234694,0.004511777033671166
13,1,0.030641025641025648,0.038802462665655256,0.5075345167652862,0.015855787313627332,2.0096438985918046e-05,-16.5891131689283,0.005530513395843742
14,1,0.016666666666666663,0.038164495576388145,0.4877551020408163,0.015708339570602078,2.049431538316094e-05,-17.853082509467246,0.006532205506892008
15,1,0.0010000000000000054,0.03922312400600089,0.5074370370370371,0.014418727242386969,2.1899060188427228e-05,-19.13407261035504,0.008017524812032653
16,1,-0.037812500000000006,0.03758060925318106,0.4698307291666667,0.015550418992670907,2.152887307148063e-05,-20.39909190786107,0.008958658187004595
17,1,0.12754901960784315,0.03590792465359647,0.44814302191464817,0.01526274068878357,2.1476214237748377e-05,-21.66342525127584,0.01007887310956281
18,1,0.015925925925925934,0.03639317506877696,0.4367078189300411,0.015679913493143956,2.308493851939886e-05,-22.93637580581705,0.012144462937363576
19,1,-0.011052631578947356,0.037947198091935905,0.4701015697137581,0.015482697405031812,2.1378849491221782e-05,-24.21513788721272,0.012535978036759887
20,1,0.019333333333333338,0.03518468995752851,0.4062833333333335,0.01482318694803167,2.2843123481320707e-05,-25.47443808984391,0.014823976362306866
