h_mean,v_score,relative_error
0.1,0.03145579785021338,0.023215022317508546
0.1,0.006147179015575113,0.023319087750322598
0.1,0.01612075767024642,0.00126117925982364
0.1,0.014774502379766024,0.01737334537124829
0.1,0.00502389673156037,0.015034463230101554
0.1,0.010035681002023815,0.008068675681592054
0.1,0.02289272862540823,0.0024515275749826568
0.1,0.011615138327443021,0.009092941252771195
0.1,0.012400265717878969,0.006314905220462272
0.1,0.010411175181711951,0.01819459892835717
0.2,0.007337930039561864,0.0062934549650450556
0.2,0.0065571530516960914,0.00866232725597112
0.2,0.005542824874979268,0.04047933097191734
0.2,0.001207237448003232,0.039619855105242685
0.2,0.004617080900099629,0.025981754495336636
0.2,0.006514520172921846,0.018716298336018136
0.2,0.003712942868632718,0.046268791725218764
0.2,0.002539598513152808,0.022021244372596366
0.2,0.0013549697800370366,0.04627143470909688
0.2,0.0050443179205108355,0.051407892922581126
0.4,0.00024407262919627892,0.00508652788877846
0.4,0.0009480831537018011,0.0386313284211297
0.4,0.00027173589071630806,0.007043103740062722
0.4,0.0002284448979397479,0.005530339867024469
0.4,0.00013761161674014793,0.0012108287621322743
0.4,0.0003210180108103281,0.010693940598319225
0.4,0.000547445701870461,0.015721492250765925
0.4,0.0014137289686486517,0.01001928362617902
0.4,0.0007711985452736102,0.033242072313110965
0.4,0.0002583782856849044,0.0008452022532660191
0.6,1.2011470018227996e-05,0.00018083706565370452
0.6,3.4004228990780967e-06,4.6570045127344573e-07
0.6,0.00012616429878891733,0.0017081893131791026
0.6,0.00011628862326077485,0.0037721706745368205
0.6,2.7403347521675373e-06,0.00036109028942446806
0.6,7.072026355366382e-06,9.141219675996631e-05
0.6,6.9851944639631675e-06,0.001325962635625098
0.6,3.4194205246075234e-05,0.000725955923886125
0.6,6.784336032566471e-05,0.001890500654370478
0.6,4.782218918260907e-06,0.000638498631168528
0.8,2.451416184079253e-06,7.964473746432101e-05
0.8,1.9566829838089415e-06,2.881907898274888e-05
0.8,1.0912868188226832e-06,2.8220534967436307e-05
0.8,7.88073769769424e-07,8.166108517347445e-05
0.8,3.0042230448767e-06,0.00014290855260435043
0.8,9.117565782476481e-07,0.0004491448306545724
0.8,1.4225153698219257e-06,0.00041205944569845443
0.8,4.498612814992399e-06,0.0010020834283297649
0.8,1.1815860419192399e-06,0.00035818617836708264
0.8,1.9121699839373514e-06,0.0004896776879581633
1.0,1.5977629103085467e-06,0.0004303879447952132
1.0,2.510007885352657e-06,0.0009131931316476883
1.0,2.775197650874483e-06,0.001061065836049137
1.0,2.405276273834666e-06,0.0001392938356569066
1.0,5.327086908567812e-07,0.0003509187753118027
1.0,2.922039744067558e-07,0.0006164933987223453
1.0,1.0087226764361356e-06,9.389461042239455e-05
1.0,3.904714256583836e-07,0.0005365166162873168
1.0,1.2237503703146962e-06,0.0004642422169321636
1.0,2.0875624214101198e-07,0.0004713971801909761
1.2,8.544499512765633e-07,0.00015500110579360008
1.2,6.104525338837945e-07,0.00029570201760453275
1.2,9.896111769505811e-07,0.0002461383939346532
1.2,4.134216677124123e-06,0.0015175570889510025
1.2,8.122023935465214e-07,0.00035534985340990283
1.2,2.1435061996729813e-06,0.00040696007189187347
1.2,1.446281448747472e-06,0.00014011109058277717
1.2,9.749070608730826e-07,0.00017064552400514857
1.2,6.855781024551793e-07,0.0002596624211013481
1.2,9.426566789135234e-07,0.00016109319113536728
2.0,8.692372402038869e-07,0.0006739452026593267
2.0,6.547340310740929e-07,0.00027555787700565755
2.0,1.0818763361869329e-06,0.0002703860170799058
2.0,5.675458042066234e-07,0.00033554884646505394
2.0,7.611154860977815e-07,0.0003126488860306664
2.0,1.4014784780438694e-06,0.0001266424555714487
2.0,5.470089500040835e-07,0.00014958303499003038
2.0,1.033617632680525e-06,7.966759982680832e-05
2.0,1.8769092428493583e-06,0.00026019097462788305
2.0,1.1118479794004407e-06,0.0006089317623431327
5.0,4.732310448970965e-07,1.4140795027477969e-05
5.0,3.6460860333828113e-07,0.00013670631792471057
5.0,4.7465954271180527e-07,1.428778206787552e-05
5.0,3.095905383900385e-07,9.737628393099303e-05
5.0,3.4608254162471824e-07,0.00021088313504636367
5.0,3.455132294090308e-07,0.00021604215974101688
5.0,2.8339932498231654e-07,0.00010055882155391315
5.0,3.154392706231503e-07,0.00019119920834067153
5.0,3.558675012398377e-07,0.00018843718116286722
5.0,3.4478723034397935e-07,5.156547649305418e-05
